50		
1	517	417
2	1034	834
3	2068	1668
4	1034	834
5	165	65
6	330	130
7	495	195
8	176	76
9	232	132
10	464	264
11	928	528
12	464	264
13	472	372
14	944	744
15	456	356
16	912	712
17	232	132
18	464	264
19	696	396
20	139	39
21	297	197
22	461	361
23	922	722
24	461	361
25	231	131
26	462	262
27	924	524
28	437	337
29	874	674
30	437	337
31	365	265
32	365	265
33	258	158
34	258	158
35	304	204
36	608	408
37	1216	816
38	912	612
39	300	200
40	600	400
41	220	120
42	440	240
43	660	360
44	303	203
45	606	406
46	606	406
47	303	203
48	606	406
49	909	609
50	522	422
10121		
