50				
1	34	9		
2	30	8		
3	26	7		
4	29	8		
5	43	12		
6	25	7		
7	31	9		
8	45	14		
9	41	13		
10	44	14		
11	38	3		
12	12	1		
13	50	5		
14	39	4		
15	39	4		
16	19	2		
17	26	3		
18	42	5		
19	33	4		
20	38	5		
21	33	13		
22	15	6		
23	24	10		
24	31	13		
25	26	11		
26	43	19		
27	22	10		
28	46	21		
29	28	13		
30	45	22		
31	22	3		
32	29	5		
33	28	5		
34	21	4		
35	31	6		
36	32	7		
37	13	3		
38	28	7		
39	48	12		
40	48	12		
41	48	16		
42	3	1		
43	17	6		
44	44	16		
45	30	11		
46	19	7		
47	42	16		
48	47	18		
49	44	17		
50	44	17		
250				
